row,Harvard local authority record number,Wikidata item,Label from 110,Label from 410,Historical note,Possible inception date,Possible end date
1,000031188-X,Q59297491,Harvard Art Club,Harvard University Art Club,"The Harvard Art Club was founded in 1873, and was open to any undergraduate with an interest in art. The Club had an art library, which it opened to members and subscribing students, and held social meetings and lectures. In 1885, the Art Club was reorganized, and professors in the Fine Arts Department became honorary members. The Club appears to have died out circa 1890 (SOURCE: Records of the Harvard Art Club, Harvard University Archives)",1873,1890
2,000141114-4,,"Harvard University Corporation Committee on the Alteration of Law V, Chapter III ","Harvard University Committee on the Alteration of Law V, Chapter III ",,,
3,000147427-8,,Harvard University Library Photo Curators Group ,Harvard Photo Curators Group ,"The Harvard Photo Curators Group is a subcommittee, formed in 1982, of the Preservation Committee of the University Library. Source: Harvard University Archives",1982,
4,000177463-8,,Harvard University Faculty of Arts and Sciences Committee to Consider the Communication of the Royal Society Relating to a Catalogue of Scientific Papers ,Harvard University Committee to Consider the Communication of the Royal Society Relating to a Catalogue of Scientific Papers ,The Committee to Consider the Communication of the Royal Society Relating to a Catalogue of Scientific Papers was established in 1894.,1894,
5,000179452-3,,Harvard University Faculty of Arts and Sciences Committee Appointed to Consider the Proposal of the Teacher's Insurance and Annuity Association ,Harvard University Committee Appointed to Consider the Proposal of the Teacher's Insurance and Annuity Association,This Committee was established in 1919.,1919,
6,000187190-0,Q59297495,Harvard University Systematics & Biogeography Discussion Group ,Systematics and Biogeography Discussion Group (Harvard University),,,
7,000201247-2,Q59297496,Harvard Athletic Association ,Harvard University Department of Athletics,"The Harvard Athletic Association was formed in 1874, and in 1951 became the Dept. of Athletics. Source: Harvard University Archives",1874,1951
8,000203013-6,Q59297497,Harvard University Dining Association ,Harvard Dining Association ,,,
9,000203780-7,Q59297498,Harvard University Educational Resources Group ,Educational Resources Group ,,,
10,000205236-9,Q59297499,Harvard Faculty Club,Faculty Club (Harvard University),"The Faculty Club of Harvard University was founded in 1929. The Club succeeded the Old Colonial Club, which ceded its property to the University on the understanding that the Faculty Club would continue to include members from the Cambridge Community. Mr. Allston Burr, A.B. 1889, made an initial generous contribution toward the cost of the building and the Harvard Corporation provided the remainder. The architectural firm of Coolidge, Shepley, Bulfinch, and Abbott designed the building, which was completed in January, 1931. The Club initially operated independently of the University, under an elected Managing Board, and was supported by dues from all members as well as by normal receipts. In June 1956, the Corporation voted that holders of Corporation appointments should be entitled to membership without payment of dues and, in 1959 it charged the Committee of Deans with responsibility for the operation of the Club.",1929,1959
11,000211806-8,Q59297501,Harvard Officers Fund Association ,Harvard University Officers Fund Association ,,,
12,000215773-X,Q59297502,Harvard University Committee on Research in Union-Management Relations ,Harvard University Committee on Research in Union-Management Relations ,,,
13,000215931-7,Q59297503,Harvard University Exempt Issues Research Group ,EIRG ,,,
14,001010548-4,,Harvard University A D  Club,Harvard University AD Club,"HISTORY: Alpha Delta Phi, 1836-1859; carried on unofficially as the Haidee Club, 1859-1865; A.D. Club, 1865; charter issued in 1878 to an organization by the name of Alpha Delta Phi that became the Fly Club in 1906; A.D. and Alpha Delta Phi seem to be used interchangeably in some periods",1836,1906
15,001010550-6,,Harvard University Fly Club,,"HISTORY: Alpha Delta Phi, 1836-1859; carried on unofficially as the Haidee Club, 1859-1865; A.D. Club, 1865; charter issued in 1878 to an organization by the name of Alpha Delta Phi that became the Fly Club in 1906; A.D. and Alpha Delta Phi seem to be used interchangeably in some periods",1836,1906
16,001010676-6,,Harvard University Haidee Club,,"HISTORY: Alpha Delta Phi, 1836-1859; carried on unofficially as the Haidee Club, 1859-1865; A.D. Club, 1865; charter issued in 1878 to an organization by the name of Alpha Delta Phi that became the Fly Club in 1906; A.D. and Alpha Delta Phi seem to be used interchangeably in some periods",1836,1906
17,001063018-X,,"Harvard Union Building (Cambridge, Mass )",Harvard Union (Harvard University),"This building was completed in 1901. At the time, Harvard undergraduate social life was ruled by a ""club system"" which was accused of elitism and exclusionary practices; this building housed the Harvard Union (organization) which was established as an alternative, a club open to all Harvard students. Designed by McKim, Mead and White, Major Henry Lee Higginson provided the original funding. After World War I, became a dining hall.",1901,
18,001073786-3,,Harvard Trade Union Alumni Association,Harvard University Trade Union Program Alumni Association,,,
19,001075127-0,,Harvard University Harvard Union,Harvard Union (Student organization),"In 1901, Harvard undergraduate social life was ruled by a ""club system"" which was accused of elitism and exclusionary practices; the Harvard Union was established as an alternative, a club open to all Harvard students. It was housed in a building of the same name, designed by McKim, Mead and White, Major Henry Lee Higginson provided the original funding.",1901,
20,001078334-2,,Harvard Camera Club,Harvard University Camera Club,"The Harvard Camera Club was founded by students in March 1889 to forward the art of photography in the University. The Club maintained a dark room, library, and reading room, sponsored lectures, and hung exhibitions featuring the work of members and of other clubs. A Club exhibit of College buildings and grounds was featured at the World's Columbian Exposition in Chicago in 1893 (SOURCE: Harvard University Archives)",1889,1893
21,001078336-9,,Harvard History Club,Harvard University History Club,,,
22,001078338-5,,Harvard Liberal Union,Harvard University Liberal Union,,,
23,001078342-3,,Harvard Yacht Club,Harvard University Harvard Yacht Club,,,
24,001095652-2,,"Harvard University Committee of the Alumni Association and the Associated Harvard Clubs on the Celebration of President Eliot's 90th Birthday, 1924","Associated Harvard Clubs Committee of the Alumni Association and the Associated Harvard Clubs on the Celebration of President Eliot's 90th Birthday, 1924",,,
25,001125526-9,,Harvard University College Teas Association Newcomers' Club Newcomers' Aid,,,,
26,001144372-3,,Harvard University Rumford Society,Rumford Chemical Society (Harvard University),,,
27,001145298-6,,Harvard Graduate School of Design Association,Harvard University Graduate School of Design Association,,,
28,001145299-4,,Harvard Graduate History Club,Harvard University Graduate History Club,,,
29,001161244-4,,Harvard University Lowell House Opera Society,Lowell House Opera Society (Harvard University)$5the,,,
30,001170701-1,,Harvard University Graduate School Alumni Association,,,,
31,001176323-X,,Harvard Electrical Club,Harvard University Electrical Club,,,
32,001197627-6,,Harvard Chinese Students' Club,Chinese Students' Club of Harvard,"The Chinese Students' Club held its first meeting 24 October 1908. The purpose of the club was to give Chinese members of the Harvard student community the chance to socialize, discuss important matters in China, and represent the Chinese people and their concerns to the Harvard community. It is unknown if there is any connection to the Harvard-Radcliffe Chinese Students Association (SOURCE: Harvard University Archives)",1908,
33,001208099-3,,Harvard Free Enterprise Society,Free Enterprise Society (Harvard University),,,
34,001208511-1,,Harvard University Employees Mutual Benefit Association,Employees Mutual Benefit Association (Harvard University),"Founded in 1938, the object of the Association was to aid its members in time of sickness, injury, or death.",1938,
35,001234977-1,,"American Defense, Harvard Group","American Defense, New England College and University Groups Harvard Group","A group of faculty at Harvard University joined together to promote U.S. involvement in World War II, and, after the U.S. had joined the war, to assist in the War effort. After the end of fighting, the group's activities turned to assisting refugees and restoring art work. SOURCE: Records of American Defense, Harvard Group (Harvard University Archives)",,
36,001241855-2,,National Student League Harvard Chapter,Harvard University National Student League,,,
37,001242345-9,,Harvard Catholic Club,Harvard University Catholic Club,,,
38,001247852-0,,Harvard Liberal Club of Boston,Harvard University Liberal Club of Boston,"The Harvard Liberal Club of Boston, begun in late 1917, took its membership from Harvard alumni and students. As of 1920, it had no offices but assembled for weekly lunch and dinner events, frequently with speakers. Its purpose was to promote liberal ideals in Harvard's institutional actions and in a Harvard education, but it also acted on non-Harvard political issues, such as the 1919 strikes in Lawrence, Massachusetts. SOURCE: Gardiner, Robert H. The Harvard Liberal Club of Boston. [Cambridge, Mass. : Harvard Graduates' Magazine, 1920] and Harvard University Archives",1917,1920
39,001253405-6,,Harvard-Radcliffe Ayn Rand Society,Harvard University Ayn Rand Society,"The Harvard-Radcliffe John Galt Circle was founded in 1964. In 1965, the name changed to the Ayn Rand Society. The group's purpose was to expand its members' undertanding and appreciation of Ayn Rand's philosophy of objectivism and to achieve wider recognition of these ideas in the Harvard community. Activities included information discussion groups, occasional outside speakers, and social events. Later, probably in 1969, the name changed to the Harvard-Radcliffe Association for Rational Individualsm. SOURCE: Harvard University Archives",1964,1969
